sentence,polarity,Survey ID,cat,SVM_Predicted,NB_Predicted
"The 2 HP printers I purchased have both been erratic in their performance. Sometimes they will work and sometimes they don’t. One is at my condo in Palm Springs and the other at my condo in Los Angeles. Both locations have WiFi service. I use my iPhone to connect with both printers to make copies and at times to scan and send documents.
When the printers aren’t working a message will show up on my phone that either the printer is busy (which it isn’t) or cannot be located (although I registered both). I’ve tried disconnecting and then reconnecting the power to the printers, making sure that the ink level is full, that the paper in the drawer is adequately stocked. Sometimes the printers will then work, but currently each one is now unresponsive to commands to print documents.
I also find that there is no adequate customer support when I call in for assistance, and that if I reach a live person I’ve been told I’d need to pay for upgraded customer assistance. Your self-guided remedies have not been adequate to fix the problem, and both my printers are now not working although they’re only a few years old.",Negative,368323509,Customer Service,Positive,Negative
"So far, my husband has enjoyed printing his newspaper daily black and white puzzles.",Positive,368323900,Others,Positive,Negative
Copy feature sucks. The page feeder doesn’t always grab the copy at first which leaves about 2-3 inches of black wasted ink before the text shows up. Same with scanning,Negative,368324585,Others,Negative,Negative
"Too many times the printer just fails to work. Slamming the paper draw, turning on and off and threatening to throw the thing away works. I'm paying money each month for instant ink but haven't received any and the page number I've been guided into is too high. When I get time, i'll buy another brand printer and toss this one in the bin.",Negative,368325813,Product Quality,Positive,Positive
"Cheaply built, not sturdy
I have owned only HP printers for the last 15 years both for home and work, never again. The HP Ink and Paper membership is a sneaky way for you guys to require your customers to overpay for HP ink for the life of our printers. I feel that this tactic is predatory, sneaky and I will never again purchase an HP printer",Negative,368325857,Price,Positive,Positive
"Cheaply built, not sturdy
I have owned only HP printers for the last 15 years both for home and work, never again. The HP Ink and Paper membership is a sneaky way for you guys to require your customers to overpay for HP ink for the life of our printers. I feel that this tactic is predatory, sneaky and I will never again purchase an HP printer",Negative,368325857,Product Quality,Positive,Positive
"Cheaply built, not sturdy
I have owned only HP printers for the last 15 years both for home and work, never again. The HP Ink and Paper membership is a sneaky way for you guys to require your customers to overpay for HP ink for the life of our printers. I feel that this tactic is predatory, sneaky and I will never again purchase an HP printer",Negative,368325857,Customer Service,Positive,Positive
"The printer is working well but the build quality is  sketchy for the amount of money I paid for the printer. over $500!

plus the ink level system has never worked.  I have to ignore the system and just have to look at the sight glasses.

I called once for service and got a foreign operator and they were not willing to help me.

but overall HP products do offer value, i've been using the same HP Laptop for over 5 years.",Negative,368326511,Product Quality,Positive,Positive
"The printer is working well but the build quality is  sketchy for the amount of money I paid for the printer. over $500!

plus the ink level system has never worked.  I have to ignore the system and just have to look at the sight glasses.

I called once for service and got a foreign operator and they were not willing to help me.

but overall HP products do offer value, i've been using the same HP Laptop for over 5 years.",Negative,368326511,Customer Service,Positive,Positive
produces quality prints in a reasonable time frame. Affordable. Ink cartridge replacement costs not too steep.,Positive,368327675,Product Quality,Negative,Positive
"When I bought my first HP printer I declined the Instant Ink offer thinking it was not going to be a good idea.  However when I bought my latest HP printer I decided to give the Instant Ink offer a try and, so far I am extremely happy with the program.  Very shortly after I had joined I actually received my first shipment of ink and I was not even close to being out of ink.  So far all is good!",Positive,368328306,Product Quality,Negative,Positive
I don't like Instant ink.  It has not sent any ink cartridges and I am not printing enough to get any value.  Probably never buy HP computer again!!!!!!!!,Negative,368329241,Product Quality,Negative,Negative
"Didn’t work for more than 50 weeks, didn’t know it wasn’t working, when I did it was days out of guarantee, and as you wouldn’t help via support, I dumped the printer and stopped the ink subscription.
Won’t ever buy HP again.  I didn’t buy cheap either.
My Epson is working fine",Negative,368329555,Price,Negative,Negative
"Didn’t work for more than 50 weeks, didn’t know it wasn’t working, when I did it was days out of guarantee, and as you wouldn’t help via support, I dumped the printer and stopped the ink subscription.
Won’t ever buy HP again.  I didn’t buy cheap either.
My Epson is working fine",Negative,368329555,Product Quality,Negative,Negative
"Didn’t work for more than 50 weeks, didn’t know it wasn’t working, when I did it was days out of guarantee, and as you wouldn’t help via support, I dumped the printer and stopped the ink subscription.
Won’t ever buy HP again.  I didn’t buy cheap either.
My Epson is working fine",Negative,368329555,Customer Service,Negative,Negative
I get too much ink for my usage,Negative,368329863,Others,Negative,Negative
"The printer has problems with the ink heads, they dry out and crystallize very quickly and then need to be changed",Negative,368329924,Product Quality,Positive,Negative
Ran out of ink in less than a month. Bought HP replacement ink and ran out in a month. Bought non HP ink which is still working after four months. Cheap printer so you can sell expensive HP ink.,Negative,368330026,Price,Negative,Negative
Ran out of ink in less than a month. Bought HP replacement ink and ran out in a month. Bought non HP ink which is still working after four months. Cheap printer so you can sell expensive HP ink.,Negative,368330026,Product Quality,Negative,Negative
I like the fact that the printer doesn’t use expensive ink cartridges.  I usually have to unplug it and plug ut back in to make copies which is a nuisance.,Positive,368330088,Others,Negative,Negative
"I am not happy that I am expected to keep a monthly membership, in order to be able to print pages. I believe, if I pay out of pocket for ink and pages, along with a one time fee or the printer purchase,  there should be no reason I should pay HP for printing.  I was not very happy receiving an almost $200 bill recently. I am planning to switch printer model",Negative,368330138,Price,Negative,Negative
"I am not happy that I am expected to keep a monthly membership, in order to be able to print pages. I believe, if I pay out of pocket for ink and pages, along with a one time fee or the printer purchase,  there should be no reason I should pay HP for printing.  I was not very happy receiving an almost $200 bill recently. I am planning to switch printer model",Negative,368330138,Customer Service,Negative,Negative
I will never purchase another HP product.  Disabling my printer because I chose not to install your overpriced print cartridges is a gross over-reach of your authority.  I do concede that you have the right not to honor the warranty but preventing me from using my printing that I purchased is not acceptable.,Negative,368332140,Price,Negative,Positive
I will never purchase another HP product.  Disabling my printer because I chose not to install your overpriced print cartridges is a gross over-reach of your authority.  I do concede that you have the right not to honor the warranty but preventing me from using my printing that I purchased is not acceptable.,Negative,368332140,Product Quality,Negative,Positive
I will never purchase another HP product.  Disabling my printer because I chose not to install your overpriced print cartridges is a gross over-reach of your authority.  I do concede that you have the right not to honor the warranty but preventing me from using my printing that I purchased is not acceptable.,Negative,368332140,Customer Service,Negative,Positive
"Contacted company to inform them of a damaged print cartridge that came with the printer. When I inserted cartridge it spilled blue ink into machine. Cleaned area as much as possible reported the damage cartridge and requested a replacement. Replacement was never received. So I purchased new cartridges to try to remedy problem myself. During initial setup printer would not recognize new cartridge and would not allow initial setup. Therefore a brand new printer could not be used, initiated or function at all. This printer was purchased for my winter home retreat so when I tried to reinitiate printer with new cartridges it was too late to return or replace printer at the store where it was purchased. Will never recommend HP due to lack of customer service and assistance. This is also why I canceled my printer subscription as well. Thank you for your interest.",Negative,368332442,Product Quality,Negative,Negative
"Contacted company to inform them of a damaged print cartridge that came with the printer. When I inserted cartridge it spilled blue ink into machine. Cleaned area as much as possible reported the damage cartridge and requested a replacement. Replacement was never received. So I purchased new cartridges to try to remedy problem myself. During initial setup printer would not recognize new cartridge and would not allow initial setup. Therefore a brand new printer could not be used, initiated or function at all. This printer was purchased for my winter home retreat so when I tried to reinitiate printer with new cartridges it was too late to return or replace printer at the store where it was purchased. Will never recommend HP due to lack of customer service and assistance. This is also why I canceled my printer subscription as well. Thank you for your interest.",Negative,368332442,Customer Service,Negative,Negative
Printing quality is not great using very expensive ink which doesn’t last long.,Negative,368332836,Product Quality,Negative,Positive
"The DeskJet is a decent printer, but I resent not being able to continue with my ink-cartridge subscription because I switched from ATT to T Mobile. I mean to say, what--? That said, I wasn't thrilled about the cartridge program either: I wonder why I'm paying a nominal sum every month without cartridges materializing all that often, and it seems like an expensive way to go about one's incidental printing needs ...",Negative,368333292,Price,Negative,Negative
"The DeskJet is a decent printer, but I resent not being able to continue with my ink-cartridge subscription because I switched from ATT to T Mobile. I mean to say, what--? That said, I wasn't thrilled about the cartridge program either: I wonder why I'm paying a nominal sum every month without cartridges materializing all that often, and it seems like an expensive way to go about one's incidental printing needs ...",Negative,368333292,Product Quality,Negative,Negative
"Works great. The only thing that I am disappointed is with the enrollment I made with HP of the ink, I had it for the few months given to me till it was time to cancel it. So I canceled it and I found so unfair that I couldn't use the inks I had left. That shouldn't be, so the way I see is that because I canceled it I was punished.Thank God that when I bought the printer I also bought ink. So I had to send all the links I had left.",Negative,368333437,Others,Negative,Positive
It’s very difficult to connect to wifi. Ink cartridges only print a dozen pages before they run out,Negative,368333916,Others,Negative,Negative
Very easy to deal with and prompt delivery of new ink cartridges,Positive,368334453,Product Quality,Positive,Positive
Very easy to deal with and prompt delivery of new ink cartridges,Positive,368334453,Customer Service,Positive,Positive
Very easy to deal with and prompt delivery of new ink cartridges,Positive,368334453,Delivery,Positive,Positive
"This is my. 2nd HP printer and I e had nothing but trouble
With it! Signed up for the ink and they sent me a damaged red one and never did replace it! Never again will I get an HP",Negative,368334532,Product Quality,Negative,Negative
First the scanner wouldn’t let me scan to phone or my computer . I read the instructions checked in forum . I prepare taxes and being able to scan multiple pages is important . The print counter is aweful I will never buy hp again . I accidently copied a blank page and so no ink was used but still those printed pages were counted. The last thing I want is for a printer to monitor my print and the amount I print. It’s ridiculous to have a subscription to only print a certain amount. I literally threw the printer on the porch less than a year after I bought and took the lost of the cost of the printer . I bought an Epson and never looked back .,Negative,368334556,Price,Negative,Negative
First the scanner wouldn’t let me scan to phone or my computer . I read the instructions checked in forum . I prepare taxes and being able to scan multiple pages is important . The print counter is aweful I will never buy hp again . I accidently copied a blank page and so no ink was used but still those printed pages were counted. The last thing I want is for a printer to monitor my print and the amount I print. It’s ridiculous to have a subscription to only print a certain amount. I literally threw the printer on the porch less than a year after I bought and took the lost of the cost of the printer . I bought an Epson and never looked back .,Negative,368334556,Product Quality,Negative,Negative
First the scanner wouldn’t let me scan to phone or my computer . I read the instructions checked in forum . I prepare taxes and being able to scan multiple pages is important . The print counter is aweful I will never buy hp again . I accidently copied a blank page and so no ink was used but still those printed pages were counted. The last thing I want is for a printer to monitor my print and the amount I print. It’s ridiculous to have a subscription to only print a certain amount. I literally threw the printer on the porch less than a year after I bought and took the lost of the cost of the printer . I bought an Epson and never looked back .,Negative,368334556,Customer Service,Negative,Negative
I have good experiences with HP. But I am using printer with only two cartridges - 1 blach and 1 color. I am not reccomending 3 separate color cartridges.,Neutral,368334655,Others,Negative,Positive
"I have owned several printers, most have been HP,  in my experience the printers are reliable and serve well in all tasks.  HP support has been good and compotent.  The only down side is spare parts:  a recent need for a cartridge carrier, first they sent wrong part, correct part was so expensive, opted for new printer.",Negative,368335427,Product Quality,Positive,Positive
"I have owned several printers, most have been HP,  in my experience the printers are reliable and serve well in all tasks.  HP support has been good and compotent.  The only down side is spare parts:  a recent need for a cartridge carrier, first they sent wrong part, correct part was so expensive, opted for new printer.",Negative,368335427,Customer Service,Positive,Positive
"New to it and not sure if I'm happy with it. So far I received 1 black ink, 1tri-colored ink and 1 ream of paper",Negative,368335457,Others,Negative,Negative
"Panic purchase to replace a hi res Canon two feed scanner colour printer.
HP Envy is less than satisfactory. Print quality poor and the interface control symbols are still a mystery all these months later. I've received one cartridge only and that seems to be drying up. I found it almost impossible to order print papers of my particular size choice and so shopped locally. What has happened to HP? At one time a name worthy of respect.",Negative,368335841,Product Quality,Positive,Positive
"Panic purchase to replace a hi res Canon two feed scanner colour printer.
HP Envy is less than satisfactory. Print quality poor and the interface control symbols are still a mystery all these months later. I've received one cartridge only and that seems to be drying up. I found it almost impossible to order print papers of my particular size choice and so shopped locally. What has happened to HP? At one time a name worthy of respect.",Negative,368335841,Customer Service,Positive,Positive
Waiting for black ink,Negative,368337432,Others,Negative,Negative
It uses a lot of ink,Negative,368338306,Others,Negative,Negative
I haven’t received no ink refills and had to buy it myself. Based on your record I still had ink so I had to purchase it myself,Negative,368338993,Customer Service,Negative,Negative
"Absolutely seamless, use the printer, low ink detected, new ink arrives before it runs out, fit and forget.
What more is there to say👍",Positive,368339861,Others,Negative,Negative
I enrolled in the ink program. I mailed in my color inks months ago and have not received my replacements,Negative,368340358,Others,Negative,Negative
"I bought a new printer a couple of years ago and it has been dormant in my office for almost the entire time because I cannot talk to someone from your customer service department. 
I signed up for the free ink and have since cancelled it because the printer can’t be used.",Negative,368343289,Customer Service,Positive,Positive
"Promised free ink but received only on3 shipment, was told I had to give credit card information to receive more",Negative,368343708,Product Quality,Negative,Negative
"Promised free ink but received only on3 shipment, was told I had to give credit card information to receive more",Negative,368343708,Customer Service,Negative,Negative
"Having to log in to the HP site with a username and password to use the printer is completely ridiculous. If I had known that I'd have this additional step in order to print a page from my computer, I never would have bought the printer. Additionally, if I let the printer sit unused for a month, the ink dries up and costs $50 to replace. I only bought HP because of your reputation, even though my last HP printer is not that old. The issue with that one is that drivers are no longer available. If/when the 3755 becomes obsolete, probably in the next few months, I'll be switching to a different brand or working to improve my handwriting skills. Stop making disposable garbage and I'll rededicate myself to HP.",Negative,368344154,Product Quality,Positive,Positive
"Having to log in to the HP site with a username and password to use the printer is completely ridiculous. If I had known that I'd have this additional step in order to print a page from my computer, I never would have bought the printer. Additionally, if I let the printer sit unused for a month, the ink dries up and costs $50 to replace. I only bought HP because of your reputation, even though my last HP printer is not that old. The issue with that one is that drivers are no longer available. If/when the 3755 becomes obsolete, probably in the next few months, I'll be switching to a different brand or working to improve my handwriting skills. Stop making disposable garbage and I'll rededicate myself to HP.",Negative,368344154,Customer Service,Positive,Positive
"Printer / Scanner is good and generally reliable mechanically. Paper jams are easy to fix, ink cartridge easy to install. Scanning and copying is simple and print quality is good. 

At times however I have experienced problems with the print queue - when printing over wifi.  Documents seem to ""disappear"" when sent to the printer and warning is not given. Clearing the queue does not solve the problem and a hard reset is necessary.  Software/print interface could be improved.",Positive,368346252,Product Quality,Positive,Positive
So far I'm very satisfied with my printer. No problems and I like all the features and my automatic ink delivery. Nice printing quality and speed.,Positive,368347385,Product Quality,Positive,Positive
Why do I have pay a monthly ink fee when I rarely print. $7 * 12 * 2 yrs = a heck of a better printer than I have.,Negative,368347932,Price,Positive,Positive
it has become too expensive for my amount of printing. So will end this month and purchase cartridges elsewhere.,Negative,368348206,Price,Positive,Negative
I love being able to print/copy/scan from anywhere in my home using Smart HP.  Also find the auto ink supply very handy.,Positive,368348369,Others,Positive,Positive
Forced to to buy your ink supplies I can't buy refills I can't buy from a second hand store that's ridiculous your price range is way too extreme,Negative,368348720,Price,Negative,Positive
Forced to to buy your ink supplies I can't buy refills I can't buy from a second hand store that's ridiculous your price range is way too extreme,Negative,368348720,Product Quality,Negative,Positive
Forced to to buy your ink supplies I can't buy refills I can't buy from a second hand store that's ridiculous your price range is way too extreme,Negative,368348720,Customer Service,Negative,Positive
The printer ( a replacement to another faulty one ) also had a fault that despite hours on the phone to customer services who followed a set pattern of  unhelpful troubleshooting it was still unable to connect to an instant ink account . So after nearly 2 years of owning hp printer  i was able to use it a handful of times using expensive cartridges bought at full price despite having an instant ink account So I gave up and got a Brother printer that Is brilliant and the ink lasts for months,Negative,368349103,Price,Negative,Negative
The printer ( a replacement to another faulty one ) also had a fault that despite hours on the phone to customer services who followed a set pattern of  unhelpful troubleshooting it was still unable to connect to an instant ink account . So after nearly 2 years of owning hp printer  i was able to use it a handful of times using expensive cartridges bought at full price despite having an instant ink account So I gave up and got a Brother printer that Is brilliant and the ink lasts for months,Negative,368349103,Product Quality,Negative,Negative
The printer ( a replacement to another faulty one ) also had a fault that despite hours on the phone to customer services who followed a set pattern of  unhelpful troubleshooting it was still unable to connect to an instant ink account . So after nearly 2 years of owning hp printer  i was able to use it a handful of times using expensive cartridges bought at full price despite having an instant ink account So I gave up and got a Brother printer that Is brilliant and the ink lasts for months,Negative,368349103,Customer Service,Negative,Negative
We have had a very difficult time getting the ink cartridges to stay in place and function properly. Also just getting the computer to function.,Negative,368349169,Product Quality,Negative,Negative
We have had a very difficult time getting the ink cartridges to stay in place and function properly. Also just getting the computer to function.,Negative,368349169,Customer Service,Negative,Negative
"I wish I’d bought another brand. The printer isn’t even the issue.  Customer service and the integrity of the Instant Ink program were the problems.  The Instant Ink program does not accurately record the number of pages printed on THEIR cartridges.  It also counts pages printed on different cartridges as well.  And the several times I had to call customer service about that, they were less than helpful, being both smart alec and condescending.  I’ll use this printer until it stops, but at that time it will be replaced with a brand OTHER than HP.",Negative,368349609,Customer Service,Positive,Negative
"I like it because the application works well and I always get the right cartridge time. the only thing that bothered me a little is that it often doesn't press the sheet all the way and stops printing and starts again. probably then this also counts as double printing and if this continues to happen it will be annoying, the quality of the print is worth it.",Positive,368349810,Others,Positive,Positive
"Can connect to my desk top, connection codes don’t work, ink hard to find, useless printer, bad buy",Negative,368349902,Product Quality,Negative,Negative
This is a great printer. The color is true and crisp. It has all the features to be a network printer,Positive,368350829,Others,Positive,Positive
easy to set up and appreciated the FREE helpdesk as I found it hard to figure out how to scan and/or fax a document -- still= not the easiest to do since I only need it every now and then.  Was STUNNED to learn that I had to pay for the ink program to use the ink you sent me....what a rip off!  It should have been more clear....then I get charged for how many pages I print every month.....not many since I;m retired but went OVER while battling county over property taxes for my brother last fall....oh well,Negative,368351661,Price,Negative,Negative
easy to set up and appreciated the FREE helpdesk as I found it hard to figure out how to scan and/or fax a document -- still= not the easiest to do since I only need it every now and then.  Was STUNNED to learn that I had to pay for the ink program to use the ink you sent me....what a rip off!  It should have been more clear....then I get charged for how many pages I print every month.....not many since I;m retired but went OVER while battling county over property taxes for my brother last fall....oh well,Negative,368351661,Customer Service,Negative,Negative
"This printer is not quite as convenient to use as the printer it replaced. And the print quality is not quite as good. As always with HP tri-color ink cartridges, it always seems that one color runs out way before the others.",Negative,368352162,Product Quality,Positive,Positive
This is the best printer I have owned. With four ink cartridges I get great printing and wonderful pictures. The printer is extremely easy to use and it is easy to set your copy requirements on the screen.,Positive,368352390,Product Quality,Positive,Positive
"Works well
Only issue is that I seems the ink doesn’t last long",Negative,368352652,Others,Positive,Positive
"The capacity for ink is ridiculously low - a few pages - or the quality is just generally very poor. I bought it to be a super-light duty machine and still it failed to live up. I also signed up for the ink program, which I understood included the machine communicating the ink demand, yet afte about 6-8 months of nearly zero use I discovered the company was still charging me a monthly charge. I understand it’s a subscription service, but you should be looking out for your customers and sending reminders if they’re being charged for something they don’t use.",Negative,368353311,Price,Negative,Negative
"The capacity for ink is ridiculously low - a few pages - or the quality is just generally very poor. I bought it to be a super-light duty machine and still it failed to live up. I also signed up for the ink program, which I understood included the machine communicating the ink demand, yet afte about 6-8 months of nearly zero use I discovered the company was still charging me a monthly charge. I understand it’s a subscription service, but you should be looking out for your customers and sending reminders if they’re being charged for something they don’t use.",Negative,368353311,Product Quality,Negative,Negative
"The capacity for ink is ridiculously low - a few pages - or the quality is just generally very poor. I bought it to be a super-light duty machine and still it failed to live up. I also signed up for the ink program, which I understood included the machine communicating the ink demand, yet afte about 6-8 months of nearly zero use I discovered the company was still charging me a monthly charge. I understand it’s a subscription service, but you should be looking out for your customers and sending reminders if they’re being charged for something they don’t use.",Negative,368353311,Customer Service,Negative,Negative
"I love the wireless option, the ink plan and quality of the prints",Positive,368353894,Product Quality,Positive,Positive
"I love the flexibility, having ink on hand when my printer is out and specially not having to order myself has been so helpful.",Positive,368354494,Others,Positive,Positive
"My experience is both Bad and good.  The printer itself is very good. Had initial trouble with cashback deal. Signed to cartridge deal.  Had several problems regarding monthly payments to this deal. While in hospital for open heart surgery was continuiously bombarded with emails wanting payment or my printer would cease to operate. The final straw was when they increased the monthly payment to almost $10.00 per month. While this was going on I was in Intensive Care unit fighting for my very existance.. I cancelled my Credit card.  I used my printer very little during this period. The upshot is when I went to print a document I found my printer had been disabled remotely from God knows where. My question is.''Can I still use my printer and how do I get it to work again as a home printer. I DO NOT WANT ANY OUTSIDE INTERFERANCE WITH IT'S ABILITY TO PRINT''  I only photo copy   rarely - print the occasional Minutes of Meetings etc. I paid for the printer - I paid for copy paper - I am paying for cartridge.  Just get my printer going and I will give you a score of TEN.  At this point, I am less than impressed and am not very happy at this point.",Negative,368355290,Price,Positive,Positive
"My experience is both Bad and good.  The printer itself is very good. Had initial trouble with cashback deal. Signed to cartridge deal.  Had several problems regarding monthly payments to this deal. While in hospital for open heart surgery was continuiously bombarded with emails wanting payment or my printer would cease to operate. The final straw was when they increased the monthly payment to almost $10.00 per month. While this was going on I was in Intensive Care unit fighting for my very existance.. I cancelled my Credit card.  I used my printer very little during this period. The upshot is when I went to print a document I found my printer had been disabled remotely from God knows where. My question is.''Can I still use my printer and how do I get it to work again as a home printer. I DO NOT WANT ANY OUTSIDE INTERFERANCE WITH IT'S ABILITY TO PRINT''  I only photo copy   rarely - print the occasional Minutes of Meetings etc. I paid for the printer - I paid for copy paper - I am paying for cartridge.  Just get my printer going and I will give you a score of TEN.  At this point, I am less than impressed and am not very happy at this point.",Negative,368355290,Product Quality,Positive,Positive
"My experience is both Bad and good.  The printer itself is very good. Had initial trouble with cashback deal. Signed to cartridge deal.  Had several problems regarding monthly payments to this deal. While in hospital for open heart surgery was continuiously bombarded with emails wanting payment or my printer would cease to operate. The final straw was when they increased the monthly payment to almost $10.00 per month. While this was going on I was in Intensive Care unit fighting for my very existance.. I cancelled my Credit card.  I used my printer very little during this period. The upshot is when I went to print a document I found my printer had been disabled remotely from God knows where. My question is.''Can I still use my printer and how do I get it to work again as a home printer. I DO NOT WANT ANY OUTSIDE INTERFERANCE WITH IT'S ABILITY TO PRINT''  I only photo copy   rarely - print the occasional Minutes of Meetings etc. I paid for the printer - I paid for copy paper - I am paying for cartridge.  Just get my printer going and I will give you a score of TEN.  At this point, I am less than impressed and am not very happy at this point.",Negative,368355290,Customer Service,Positive,Positive
"Easy set, easy to use & ink cheap to replace.",Positive,368355369,Others,Positive,Positive
"My previous  printer I think was a Hp 8600 which was far superior. I could do everything  from the front screen, this one I have problems with the Internet, I can't  tell how much  ink is left as is doesn't  show on my app or computer. I would not buy another  Hp printer again",Negative,368355519,Product Quality,Positive,Positive
I rarely use it and the ink already needs to be replaced. I’ve printed under 20 pages since I got it. The scan feature is nice.,Neutral,368356314,Others,Negative,Negative
The ink runs out to fast and it prints slow,Negative,368356605,Others,Negative,Negative
It's an okay printer.  It doesn't have a bypass tray. It doesn't print on cardstock.  I much prefer a laser printer.  The one I had before this mediocre ink jet lasted over 15 years.,Neutral,368357438,Others,Negative,Negative
I don't find the ink value very good. Even with the bigger cartridge it is expensive. I don't want or need to subscribe for the HP offer. I'd prefer more affordable ink.,Negative,368357721,Price,Negative,Negative
I don't find the ink value very good. Even with the bigger cartridge it is expensive. I don't want or need to subscribe for the HP offer. I'd prefer more affordable ink.,Negative,368357721,Product Quality,Negative,Negative
"The value is great; two years after purchasing it, I'm still using it daily. The original ink is available at Sam's. The quality of documents is very good, I've had no problems at all. It prints over WiFi, very convenient.",Positive,368357856,Product Quality,Positive,Positive
My printer worked great I had the hp ink subscription the ink stopped working the help desk tried to help I cancelled my subscription as the ink wasn't working bought ink instead from pc World hp ink ligit cartridges still couldn't get my printer to work properly really disappointed as warranty ran out literally that week,Negative,368357897,Product Quality,Negative,Negative
My printer worked great I had the hp ink subscription the ink stopped working the help desk tried to help I cancelled my subscription as the ink wasn't working bought ink instead from pc World hp ink ligit cartridges still couldn't get my printer to work properly really disappointed as warranty ran out literally that week,Negative,368357897,Customer Service,Negative,Negative
The printer does everything I need it to. It is also really nice having the ink shipped.,Positive,368358415,Others,Positive,Positive
"Reliable, easy to use.  Always purchased HP for those reasons.  Ink is too expensive but all the other brands are expensive also.  HP ink seems to last a little longer than others.",Positive,368358510,Price,Negative,Negative
"Reliable, easy to use.  Always purchased HP for those reasons.  Ink is too expensive but all the other brands are expensive also.  HP ink seems to last a little longer than others.",Positive,368358510,Product Quality,Negative,Negative
"I received a shipment of ink for my old printer and I would like to return it.  While trying to set up HP shipments on my new printer, I ended up signing up for HP+.  I do not want this service, only the ink replacement service.  How do I return the ink I do not want and cancel the HP+",Negative,368585547,Price,Negative,Negative
"I received a shipment of ink for my old printer and I would like to return it.  While trying to set up HP shipments on my new printer, I ended up signing up for HP+.  I do not want this service, only the ink replacement service.  How do I return the ink I do not want and cancel the HP+",Negative,368585547,Product Quality,Negative,Negative
"I received a shipment of ink for my old printer and I would like to return it.  While trying to set up HP shipments on my new printer, I ended up signing up for HP+.  I do not want this service, only the ink replacement service.  How do I return the ink I do not want and cancel the HP+",Negative,368585547,Customer Service,Negative,Negative
"I just bought the printer and it supposedly came with 6 months of instant ink free 
I couldn’t get that promo and had to resign up for regular service 
I would like you to somehow get that promo to me",Negative,368585690,Product Quality,Negative,Positive
"I just bought the printer and it supposedly came with 6 months of instant ink free 
I couldn’t get that promo and had to resign up for regular service 
I would like you to somehow get that promo to me",Negative,368585690,Customer Service,Negative,Positive
Good device.  Seems to be working well for me so far.  First batch of ink did not last long,Positive,368586230,Others,Positive,Positive
"I gave HP support the score because the gentleman was very professional and he helped me from what I was trying to achieve, provided I received the cartridge like he guaranteed I would in a week everything will be fine.",Positive,368638083,Product Quality,Positive,Negative
"I gave HP support the score because the gentleman was very professional and he helped me from what I was trying to achieve, provided I received the cartridge like he guaranteed I would in a week everything will be fine.",Positive,368638083,Customer Service,Positive,Negative
"Works well, replacing ink cartridges are easy to complete. Quality of ink is good quality.",Positive,368640525,Product Quality,Positive,Positive
"Printer cartridges malfunction regularly. Printed pages don’t entirely print at times (occasional fading on margins and in body of text). When trying to use photo paper, the feed function balks and doesn’t advance the paper. The printer is aesthetically pleasing to look at but its functionality leaves a lot to be desired.",Negative,368640902,Product Quality,Negative,Negative
"I signed up for Instant ink when I bought the printer. Its been 2 years and I have not received any ink! However, I paid for it.",Negative,368640943,Others,Negative,Negative
"Very good quality prints and scan. Very reassuring not to worry about ink levels. Funny that when my initial ink program was finished,the printer would not accept other ink cartridges and would not even copy or scan. The moment I renewed my enrollment with you,everything went back to normal. I will stick to this enrollment.",Positive,368641213,Product Quality,Negative,Positive
"Very good quality prints and scan. Very reassuring not to worry about ink levels. Funny that when my initial ink program was finished,the printer would not accept other ink cartridges and would not even copy or scan. The moment I renewed my enrollment with you,everything went back to normal. I will stick to this enrollment.",Positive,368641213,Customer Service,Negative,Positive
"The costs of ink cartridges are outrageous. The machine, however, is working fine.",Negative,368641542,Price,Negative,Positive
"I’m never sure that HP knows when I need cartridges. For example, I have no spare cartridges right now; if one cartridge runs dry, I will be unable to print. 
In the other hand, I think the annual price for the service is fair.",Negative,368641547,Price,Negative,Negative
"I’m never sure that HP knows when I need cartridges. For example, I have no spare cartridges right now; if one cartridge runs dry, I will be unable to print. 
In the other hand, I think the annual price for the service is fair.",Negative,368641547,Customer Service,Negative,Negative
I like how easy it is to get the ink for it. The view window with selections is not very easy to read and operate,Positive,368641700,Others,Positive,Positive
Keep s losing WiFi connection. It goes to sleep and will not wake up. Now it will not connect to pc at all. I have used all your diagnostic tools and no fixes. And wouldn’t you know the issues started a week before the warranty ran out 2/28/2024. I am enrolled in the HP ink & paper replenishment also. I am very unhappy another $150.00 down the drain plus this ink & paper. I am sure I will never get a helping response. “Sorry for your issue but since it is out of warranty we can not help you but we hope you will buy another HP printer”,Negative,368642299,Product Quality,Negative,Negative
Keep s losing WiFi connection. It goes to sleep and will not wake up. Now it will not connect to pc at all. I have used all your diagnostic tools and no fixes. And wouldn’t you know the issues started a week before the warranty ran out 2/28/2024. I am enrolled in the HP ink & paper replenishment also. I am very unhappy another $150.00 down the drain plus this ink & paper. I am sure I will never get a helping response. “Sorry for your issue but since it is out of warranty we can not help you but we hope you will buy another HP printer”,Negative,368642299,Customer Service,Negative,Negative
scanner doesnt work.  cannot send scan documents when it seems to work to anything but my computer on the same wifi.  Need an acceptance code or something like that from a receiving email.  Used once in the four years I have this machine.  It so slow to print the first of the day.  Prints both sides when two separate prints are selectted.  Does not accept most non HP inks...even those that enclose workaround if not accepted.   I get this from your viewpoint but you ought bring your ink prices down a bit.  I been meaning to get to the,Negative,368642606,Price,Positive,Negative
